ticker,company_name,sector,theme_id,theme_label,first_year,last_year,first_rate_per_10k_words,last_rate_per_10k_words,change_per_10k_words,observed_years
C,Citigroup,Financials,employees_and_workplace,Employees and workplace,2016,2024,26.642766,29.462986,2.82022,9
C,Citigroup,Financials,environment_and_sustainability,Environment and sustainability,2016,2024,3.192221,20.993869,17.801648,9
C,Citigroup,Financials,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,1.841666,2.743517,0.901851,9
C,Citigroup,Financials,innovation_and_excellence,Innovation and excellence,2016,2024,1.964444,3.93635,1.971907,9
C,Citigroup,Financials,integrity_and_ethics,Integrity and ethics,2016,2024,10.067773,8.946251,-1.121522,9
C,Citigroup,Financials,leadership_and_accountability,Leadership and accountability,2016,2024,16.452215,27.79302,11.340805,9
C,Citigroup,Financials,purpose_and_identity,Purpose and identity,2016,2024,0.0,0.7157,0.7157,9
C,Citigroup,Financials,shareholders_and_performance,Shareholders and performance,2016,2024,11.049995,6.441301,-4.608694,9
C,Citigroup,Financials,social_impact_and_community,Social impact and community,2016,2024,1.473333,2.743517,1.270184,9
COP,ConocoPhillips,Energy,collaboration_and_partnership,Collaboration and partnership,2016,2024,2.811182,3.564402,0.753219,9
COP,ConocoPhillips,Energy,customers_and_service,Customers and service,2016,2024,14.055911,11.976389,-2.079522,9
COP,ConocoPhillips,Energy,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,12.494143,21.814138,9.319994,9
COP,ConocoPhillips,Energy,employees_and_workplace,Employees and workplace,2016,2024,36.076839,44.626308,8.549469,9
COP,ConocoPhillips,Energy,environment_and_sustainability,Environment and sustainability,2016,2024,14.055911,28.372637,14.316726,9
COP,ConocoPhillips,Energy,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,10.307668,11.120933,0.813265,9
COP,ConocoPhillips,Energy,innovation_and_excellence,Innovation and excellence,2016,2024,2.030298,2.708945,0.678647,9
COP,ConocoPhillips,Energy,integrity_and_ethics,Integrity and ethics,2016,2024,8.902077,11.976389,3.074312,9
COP,ConocoPhillips,Energy,leadership_and_accountability,Leadership and accountability,2016,2024,16.242386,20.816105,4.573719,9
COP,ConocoPhillips,Energy,purpose_and_identity,Purpose and identity,2016,2024,0.46853,0.142576,-0.325954,9
COP,ConocoPhillips,Energy,shareholders_and_performance,Shareholders and performance,2016,2024,9.058254,9.124868,0.066614,9
COP,ConocoPhillips,Energy,social_impact_and_community,Social impact and community,2016,2024,2.186475,1.425761,-0.760714,9
CRM,Salesforce,Technology,collaboration_and_partnership,Collaboration and partnership,2016,2024,2.409768,3.071517,0.66175,9
CRM,Salesforce,Technology,customers_and_service,Customers and service,2016,2024,8.300311,19.903431,11.603121,9
CRM,Salesforce,Technology,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,36.146514,35.506739,-0.639775,9
CRM,Salesforce,Technology,employees_and_workplace,Employees and workplace,2016,2024,20.616901,30.960893,10.343993,9
CRM,Salesforce,Technology,environment_and_sustainability,Environment and sustainability,2016,2024,1.606512,12.654651,11.048139,9
CRM,Salesforce,Technology,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,6.961551,9.828855,2.867304,9
CRM,Salesforce,Technology,innovation_and_excellence,Innovation and excellence,2016,2024,1.33876,5.651592,4.312832,9
CRM,Salesforce,Technology,integrity_and_ethics,Integrity and ethics,2016,2024,5.355039,8.108805,2.753766,9
CRM,Salesforce,Technology,leadership_and_accountability,Leadership and accountability,2016,2024,20.349149,19.411989,-0.93716,9
CRM,Salesforce,Technology,purpose_and_identity,Purpose and identity,2016,2024,0.0,2.088632,2.088632,9
CRM,Salesforce,Technology,shareholders_and_performance,Shareholders and performance,2016,2024,4.551783,7.494502,2.942719,9
CRM,Salesforce,Technology,social_impact_and_community,Social impact and community,2016,2024,2.409768,4.422985,2.013217,9
CVX,Chevron,Energy,collaboration_and_partnership,Collaboration and partnership,2016,2024,1.569637,3.73374,2.164103,9
CVX,Chevron,Energy,customers_and_service,Customers and service,2016,2024,13.969769,14.934958,0.965189,9
CVX,Chevron,Energy,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,15.853333,22.999836,7.146503,9
CVX,Chevron,Energy,employees_and_workplace,Employees and workplace,2016,2024,35.159868,34.649103,-0.510764,9
CVX,Chevron,Energy,environment_and_sustainability,Environment and sustainability,2016,2024,30.293993,46.298371,16.004378,9
CVX,Chevron,Energy,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,12.400132,17.025852,4.625721,9
CVX,Chevron,Energy,innovation_and_excellence,Innovation and excellence,2016,2024,4.708911,4.331138,-0.377773,9
CVX,Chevron,Energy,integrity_and_ethics,Integrity and ethics,2016,2024,5.96462,7.467479,1.502859,9
CVX,Chevron,Energy,leadership_and_accountability,Leadership and accountability,2016,2024,20.719208,21.655689,0.936482,9
CVX,Chevron,Energy,purpose_and_identity,Purpose and identity,2016,2024,0.627855,0.298699,-0.329156,9
CVX,Chevron,Energy,shareholders_and_performance,Shareholders and performance,2016,2024,7.377294,6.123333,-1.253961,9
CVX,Chevron,Energy,social_impact_and_community,Social impact and community,2016,2024,5.179802,4.779187,-0.400615,9
EOG,EOG Resources,Energy,collaboration_and_partnership,Collaboration and partnership,2016,2024,0.597997,0.70492,0.106924,9
EOG,EOG Resources,Energy,customers_and_service,Customers and service,2016,2024,7.474959,8.224071,0.749112,9
EOG,EOG Resources,Energy,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,10.464942,12.688566,2.223624,9
EOG,EOG Resources,Energy,employees_and_workplace,Employees and workplace,2016,2024,32.590821,31.251469,-1.339352,9
EOG,EOG Resources,Energy,environment_and_sustainability,Environment and sustainability,2016,2024,7.474959,17.857982,10.383023,9
EOG,EOG Resources,Energy,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,6.876962,7.989097,1.112135,9
EOG,EOG Resources,Energy,innovation_and_excellence,Innovation and excellence,2016,2024,0.0,2.819681,2.819681,9
EOG,EOG Resources,Energy,integrity_and_ethics,Integrity and ethics,2016,2024,4.783974,4.464496,-0.319478,9
EOG,EOG Resources,Energy,leadership_and_accountability,Leadership and accountability,2016,2024,19.733891,16.683115,-3.050777,9
EOG,EOG Resources,Energy,purpose_and_identity,Purpose and identity,2016,2024,0.0,0.0,0.0,9
EOG,EOG Resources,Energy,shareholders_and_performance,Shareholders and performance,2016,2024,6.278965,4.934442,-1.344523,9
EOG,EOG Resources,Energy,social_impact_and_community,Social impact and community,2016,2024,0.0,0.939894,0.939894,9
F,Ford Motor,Consumer Discretionary,collaboration_and_partnership,Collaboration and partnership,2016,2024,3.115645,1.644791,-1.470854,9
F,Ford Motor,Consumer Discretionary,customers_and_service,Customers and service,2016,2024,11.10795,21.87572,10.767769,9
F,Ford Motor,Consumer Discretionary,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,11.785264,20.559887,8.774622,9
F,Ford Motor,Consumer Discretionary,employees_and_workplace,Employees and workplace,2016,2024,15.713686,37.336754,21.623069,9
F,Ford Motor,Consumer Discretionary,environment_and_sustainability,Environment and sustainability,2016,2024,5.553975,18.750617,13.196642,9
F,Ford Motor,Consumer Discretionary,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,6.908603,5.42781,-1.480793,9
F,Ford Motor,Consumer Discretionary,innovation_and_excellence,Innovation and excellence,2016,2024,8.940545,8.552913,-0.387632,9
F,Ford Motor,Consumer Discretionary,integrity_and_ethics,Integrity and ethics,2016,2024,9.076008,6.908122,-2.167886,9
F,Ford Motor,Consumer Discretionary,leadership_and_accountability,Leadership and accountability,2016,2024,15.171835,23.027073,7.855239,9
F,Ford Motor,Consumer Discretionary,purpose_and_identity,Purpose and identity,2016,2024,0.0,0.328958,0.328958,9
F,Ford Motor,Consumer Discretionary,shareholders_and_performance,Shareholders and performance,2016,2024,26.415248,34.376131,7.960883,9
F,Ford Motor,Consumer Discretionary,social_impact_and_community,Social impact and community,2016,2024,1.083702,1.315833,0.23213,9
GOOGL,Alphabet,Technology,collaboration_and_partnership,Collaboration and partnership,2016,2024,3.576751,5.037433,1.460682,9
GOOGL,Alphabet,Technology,customers_and_service,Customers and service,2016,2024,9.538003,8.511525,-1.026478,9
GOOGL,Alphabet,Technology,diversity_equity_and_inclusion,"Diversity, equity, and inclusion",2016,2024,25.832091,24.492348,-1.339743,9
GOOGL,Alphabet,Technology,employees_and_workplace,Employees and workplace,2016,2024,25.037258,24.666053,-0.371205,9
GOOGL,Alphabet,Technology,environment_and_sustainability,Environment and sustainability,2016,2024,2.384501,21.53937,19.154869,9
GOOGL,Alphabet,Technology,health_safety_and_wellbeing,"Health, safety, and wellbeing",2016,2024,2.781918,25.187167,22.405249,9
GOOGL,Alphabet,Technology,innovation_and_excellence,Innovation and excellence,2016,2024,1.987084,3.995206,2.008122,9
GOOGL,Alphabet,Technology,integrity_and_ethics,Integrity and ethics,2016,2024,10.134128,18.760097,8.625968,9
GOOGL,Alphabet,Technology,leadership_and_accountability,Leadership and accountability,2016,2024,37.15847,26.750508,-10.407962,9
GOOGL,Alphabet,Technology,purpose_and_identity,Purpose and identity,2016,2024,0.198708,0.173705,-0.025004,9
GOOGL,Alphabet,Technology,shareholders_and_performance,Shareholders and performance,2016,2024,8.743169,9.727457,0.984288,9
GOOGL,Alphabet,Technology,social_impact_and_community,Social impact and community,2016,2024,0.198708,3.300387,3.101679,9
