ticker,year,collection_status,sec_archive_url,raw_file_path,raw_file_bytes,raw_content_sha256,gap_reason
IBM,2017,collected,https://www.sec.gov/Archives/edgar/data/51143/000110465917016116/a17-2254_1def14a.htm,part2_lived_values/data/raw/filings/ibm_2017_000110465917016116.htm,2190836,4492e3eacc75af7d6637d2655d8c7e1ba6a0abd2d158673422234420451cdcd8,
IBM,2018,collected,https://www.sec.gov/Archives/edgar/data/51143/000110465918016710/a18-2910_1def14a.htm,part2_lived_values/data/raw/filings/ibm_2018_000110465918016710.htm,2547565,426e247ae383f50a66c74346aa0a23155da233abc7dd0f912d139b35d38f4f7a,
IBM,2019,collected,https://www.sec.gov/Archives/edgar/data/51143/000110465919013856/a19-2536_1def14a.htm,part2_lived_values/data/raw/filings/ibm_2019_000110465919013856.htm,3698367,afc2bfb054fcf6e5e19a66419b9a177b9fc350f7ae31a2f53dd20fcb2d03b7a6,
IBM,2020,collected,https://www.sec.gov/Archives/edgar/data/51143/000119312520067199/d845103ddef14a.htm,part2_lived_values/data/raw/filings/ibm_2020_000119312520067199.htm,2113971,ecabd5b22b60f156a84648bfd174f4697dab3c90e9fc22d27b4701c7f32f3bfa,
IBM,2021,collected,https://www.sec.gov/Archives/edgar/data/51143/000119312521073223/d46027ddef14a.htm,part2_lived_values/data/raw/filings/ibm_2021_000119312521073223.htm,2320981,14765d004fdce220ee97d019b79ea02b37a0c05c1b8a865e3d5c5a2973272ba6,
IBM,2022,collected,https://www.sec.gov/Archives/edgar/data/51143/000110465922031075/tm2122634-2_def14a.htm,part2_lived_values/data/raw/filings/ibm_2022_000110465922031075.htm,3017432,5154cb4b934bd9b5f48a10d6b470df77693384f3aa38fd962898db7b95dc79d6,
IBM,2023,collected,https://www.sec.gov/Archives/edgar/data/51143/000110465923029014/tm231774d2_def14a.htm,part2_lived_values/data/raw/filings/ibm_2023_000110465923029014.htm,3181156,983bfa3fcccb137ee3702d8662521587d213fc9cbf64e29c736fc34c99672ffe,
IBM,2024,collected,https://www.sec.gov/Archives/edgar/data/51143/000110465924032641/tm2329614-d3_def14a.htm,part2_lived_values/data/raw/filings/ibm_2024_000110465924032641.htm,2860790,1e48395ce2bc64c11ca88d3f8b5f6dea947159235c06f36ae20cff4b25e81d20,
INTC,2016,collected,https://www.sec.gov/Archives/edgar/data/50863/000119312516528154/d286791ddef14a.htm,part2_lived_values/data/raw/filings/intc_2016_000119312516528154.htm,1196487,d78b0b5fb3c28d2dddb10d638a9da1f4f5fc2662a817905217c1320dc89d0d3a,
INTC,2017,collected,https://www.sec.gov/Archives/edgar/data/50863/000119312517112133/d312067ddef14a.htm,part2_lived_values/data/raw/filings/intc_2017_000119312517112133.htm,1720097,b6227f8b453784a38862702f5598e23b3364fc973c7db927857c85828fc871fc,
INTC,2018,collected,https://www.sec.gov/Archives/edgar/data/50863/000119312518107675/d498273ddef14a.htm,part2_lived_values/data/raw/filings/intc_2018_000119312518107675.htm,1675084,0b2915df7cf18c6fdcac16851670a3aab7c39316109ac070749e4a8ff990a6a2,
INTC,2019,collected,https://www.sec.gov/Archives/edgar/data/50863/000119312519095785/d648184ddef14a.htm,part2_lived_values/data/raw/filings/intc_2019_000119312519095785.htm,2053717,5b12e0dc08b5ec8d3931918183e83ad398bcc868e422191615505e614a961b6f,
INTC,2020,collected,https://www.sec.gov/Archives/edgar/data/50863/000119312520091451/d835759ddef14a.htm,part2_lived_values/data/raw/filings/intc_2020_000119312520091451.htm,2873476,78c54af0b69167fbf76289e6f024639dfc7e7270c26744f0b21c8db70fa494f4,
INTC,2021,collected,https://www.sec.gov/Archives/edgar/data/50863/000119312521098458/d86711ddef14a.htm,part2_lived_values/data/raw/filings/intc_2021_000119312521098458.htm,2822978,869f9677812ca1ad268e553131585843ad1c14a43f46e2f4f6da7293e385baff,
INTC,2022,collected,https://www.sec.gov/Archives/edgar/data/50863/000005086322000011/proxy2022.htm,part2_lived_values/data/raw/filings/intc_2022_000005086322000011.htm,3186764,5c340a6d619d298a68c377cddf9e086ec5bfcc2d9609dcb70012d284d1abd777,
