ticker,company_name,sector,prior_year,year,doc_id_prior,doc_id_current,cosine_similarity,semantic_distance
AAPL,Apple,Technology,2021,2022,AAPL-2021,AAPL-2022,0.99474937,0.00525063
ORCL,Oracle,Technology,2018,2019,ORCL-2018,ORCL-2019,0.99506688,0.00493312
INTC,Intel,Technology,2017,2018,INTC-2017,INTC-2018,0.99522161,0.00477839
CVX,Chevron,Energy,2023,2024,CVX-2023,CVX-2024,0.99528921,0.00471079
BAC,Bank of America,Financials,2019,2020,BAC-2019,BAC-2020,0.99542117,0.00457883
SLB,SLB (Schlumberger),Energy,2018,2019,SLB-2018,SLB-2019,0.99550045,0.00449955
WFC,Wells Fargo,Financials,2019,2020,WFC-2019,WFC-2020,0.99553263,0.00446737
CVX,Chevron,Energy,2019,2020,CVX-2019,CVX-2020,0.99559158,0.00440842
MCD,McDonald's,Consumer Discretionary,2017,2018,MCD-2017,MCD-2018,0.99559361,0.00440639
SCHW,Charles Schwab,Financials,2020,2021,SCHW-2020,SCHW-2021,0.99560142,0.00439858
WFC,Wells Fargo,Financials,2018,2019,WFC-2018,WFC-2019,0.99578285,0.00421715
NVDA,NVIDIA,Technology,2019,2020,NVDA-2019,NVDA-2020,0.99582613,0.00417387
MS,Morgan Stanley,Financials,2021,2022,MS-2021,MS-2022,0.99593085,0.00406915
PFE,Pfizer,Healthcare,2018,2019,PFE-2018,PFE-2019,0.99609327,0.00390673
MRK,Merck,Healthcare,2017,2018,MRK-2017,MRK-2018,0.99611616,0.00388384
CRM,Salesforce,Technology,2018,2019,CRM-2018,CRM-2019,0.99616432,0.00383568
HD,Home Depot,Consumer Discretionary,2020,2021,HD-2020,HD-2021,0.99620986,0.00379014
ORCL,Oracle,Technology,2017,2018,ORCL-2017,ORCL-2018,0.99622166,0.00377834
PFE,Pfizer,Healthcare,2017,2018,PFE-2017,PFE-2018,0.99622893,0.00377107
INTC,Intel,Technology,2019,2020,INTC-2019,INTC-2020,0.9964273,0.0035727
PFE,Pfizer,Healthcare,2019,2020,PFE-2019,PFE-2020,0.99645734,0.00354266
BMY,Bristol-Myers Squibb,Healthcare,2016,2017,BMY-2016,BMY-2017,0.99650753,0.00349247
CRM,Salesforce,Technology,2019,2020,CRM-2019,CRM-2020,0.99662769,0.00337231
VLO,Valero Energy,Energy,2020,2021,VLO-2020,VLO-2021,0.99683791,0.00316209
AXP,American Express,Financials,2017,2018,AXP-2017,AXP-2018,0.99685496,0.00314504
LOW,Lowe's,Consumer Discretionary,2020,2021,LOW-2020,LOW-2021,0.99685973,0.00314027
BMY,Bristol-Myers Squibb,Healthcare,2020,2021,BMY-2020,BMY-2021,0.996907,0.003093
MDT,Medtronic,Healthcare,2020,2021,MDT-2020,MDT-2021,0.99691737,0.00308263
LOW,Lowe's,Consumer Discretionary,2019,2020,LOW-2019,LOW-2020,0.99698609,0.00301391
XOM,ExxonMobil,Energy,2017,2018,XOM-2017,XOM-2018,0.99715018,0.00284982
C,Citigroup,Financials,2018,2019,C-2018,C-2019,0.99719352,0.00280648
UNH,UnitedHealth Group,Healthcare,2019,2020,UNH-2019,UNH-2020,0.99722326,0.00277674
UNH,UnitedHealth Group,Healthcare,2020,2021,UNH-2020,UNH-2021,0.99723607,0.00276393
HD,Home Depot,Consumer Discretionary,2017,2018,HD-2017,HD-2018,0.99728179,0.00271821
BRK.B,Berkshire Hathaway,Financials,2019,2020,BRK.B-2019,BRK.B-2020,0.99738514,0.00261486
MCD,McDonald's,Consumer Discretionary,2019,2020,MCD-2019,MCD-2020,0.99745142,0.00254858
MCD,McDonald's,Consumer Discretionary,2020,2021,MCD-2020,MCD-2021,0.99745619,0.00254381
IBM,IBM,Technology,2020,2021,IBM-2020,IBM-2021,0.99751937,0.00248063
JPM,JPMorgan Chase,Financials,2016,2017,JPM-2016,JPM-2017,0.99758571,0.00241429
BRK.B,Berkshire Hathaway,Financials,2018,2019,BRK.B-2018,BRK.B-2019,0.99760419,0.00239581
EOG,EOG Resources,Energy,2020,2021,EOG-2020,EOG-2021,0.99767858,0.00232142
SCHW,Charles Schwab,Financials,2019,2020,SCHW-2019,SCHW-2020,0.99776602,0.00223398
TMO,Thermo Fisher Scientific,Healthcare,2017,2018,TMO-2017,TMO-2018,0.99779856,0.00220144
CVX,Chevron,Energy,2020,2021,CVX-2020,CVX-2021,0.99780732,0.00219268
C,Citigroup,Financials,2019,2020,C-2019,C-2020,0.9978168,0.0021832
GOOGL,Alphabet,Technology,2017,2018,GOOGL-2017,GOOGL-2018,0.99794912,0.00205088
SBUX,Starbucks,Consumer Discretionary,2018,2019,SBUX-2018,SBUX-2019,0.99796563,0.00203437
MRK,Merck,Healthcare,2020,2021,MRK-2020,MRK-2021,0.99797022,0.00202978
AXP,American Express,Financials,2020,2021,AXP-2020,AXP-2021,0.99798453,0.00201547
MSFT,Microsoft,Technology,2019,2020,MSFT-2019,MSFT-2020,0.99801457,0.00198543
MSFT,Microsoft,Technology,2017,2018,MSFT-2017,MSFT-2018,0.99801946,0.00198054
META,Meta Platforms,Technology,2018,2019,META-2018,META-2019,0.99810511,0.00189489
MSFT,Microsoft,Technology,2020,2021,MSFT-2020,MSFT-2021,0.99811804,0.00188196
GS,Goldman Sachs,Financials,2020,2021,GS-2020,GS-2021,0.99814487,0.00185513
GS,Goldman Sachs,Financials,2018,2019,GS-2018,GS-2019,0.99815327,0.00184673
OXY,Occidental Petroleum,Energy,2017,2018,OXY-2017,OXY-2018,0.99818206,0.00181794
SCHW,Charles Schwab,Financials,2017,2018,SCHW-2017,SCHW-2018,0.99819684,0.00180316
GOOGL,Alphabet,Technology,2019,2020,GOOGL-2019,GOOGL-2020,0.99820626,0.00179374
NKE,Nike,Consumer Discretionary,2019,2020,NKE-2019,NKE-2020,0.99823773,0.00176227
MS,Morgan Stanley,Financials,2018,2019,MS-2018,MS-2019,0.99825728,0.00174272
SCHW,Charles Schwab,Financials,2018,2019,SCHW-2018,SCHW-2019,0.99826491,0.00173509
ABBV,AbbVie,Healthcare,2019,2020,ABBV-2019,ABBV-2020,0.99829471,0.00170529
