doc_id,ticker,company_name,sector,year,accession_number,clean_text_sha256,dominant_topic_id,dominant_topic_score,nmf_topic_1_score,nmf_topic_2_score,nmf_topic_3_score,nmf_topic_4_score,nmf_topic_5_score,nmf_topic_6_score,nmf_topic_7_score,nmf_topic_8_score
AVGO-2021,AVGO,Broadcom,Technology,2021,0001730168-21-000017,b1583a3fcb38cc9a0d7b9bae2fef5d5210694fb6a1f5898ec90b837bdeece302,nmf_topic_1,0.14367488,0.14367488,0.0,0.06078747,0.0224818,0.0,0.00149104,0.04498915,0.01884412
AVGO-2022,AVGO,Broadcom,Technology,2022,0001730168-22-000012,dcf6a5ba2c36a6b514dd41a0c78c7c98019980c7e52dc49df68b314d6b309168,nmf_topic_3,0.1037486,0.06017894,0.0044577,0.1037486,0.01358046,0.00447708,0.0090107,0.10089159,0.01972675
AVGO-2023,AVGO,Broadcom,Technology,2023,0001140361-23-007640,a8920e6e345901425d46371d8c7337b122388d7220a1b8f4f9da17dab01c845f,nmf_topic_7,0.1224551,0.05415116,0.0,0.05672031,0.05202059,0.0,0.0,0.1224551,0.02160951
AVGO-2024,AVGO,Broadcom,Technology,2024,0001140361-24-009541,56c04f0dab327620b0fa42328e8c2f68464143a3839a57e31d008851f04a6f42,nmf_topic_7,0.10954816,0.03609935,0.05421267,0.03330197,0.05136652,0.0,0.0,0.10954816,0.00642914
CRM-2016,CRM,Salesforce,Technology,2016,0001193125-16-550325,42003c02bcd44389a66f82099dc7cd3bb27d1529e521bd709f9094a75e1bde95,nmf_topic_3,0.22920109,0.01909392,0.0,0.22920109,0.0,0.0,0.0,0.0,0.0
CRM-2017,CRM,Salesforce,Technology,2017,0001193125-17-139646,5aa1ca6b949fa0cc9a328fcc5234fa79a69c06c2e9f03d460919adb30da510a3,nmf_topic_3,0.22347965,0.01739107,0.0,0.22347965,0.0,0.0,0.0,0.0,0.0
CRM-2018,CRM,Salesforce,Technology,2018,0001193125-18-148743,4f54021ff8ea5078d0ef44546b9cb6a60086c8a28a29a990218dd5d75a7eb5c1,nmf_topic_3,0.23276678,0.00736661,0.0,0.23276678,0.0,0.0,0.0,0.0,0.0
CRM-2019,CRM,Salesforce,Technology,2019,0001193125-19-119702,7b0c70e5f9af2fa06f9a4998c0e9685eb7103b7a987b904389555e1fb0f142f8,nmf_topic_3,0.22856707,0.01667982,0.0,0.22856707,0.0,0.0,6.324e-05,0.0,0.0
CRM-2020,CRM,Salesforce,Technology,2020,0001193125-20-131040,e7ba481f9239017135080fcd3aaaf5be11db58ab1b12fc79d70da059858b55e5,nmf_topic_3,0.20832732,0.0,0.04071655,0.20832732,0.00859604,0.0,0.0,0.0,0.0
CRM-2021,CRM,Salesforce,Technology,2021,0001193125-21-140350,8a5c0d2c0fbfad6eb29351912e1ac887e506e4ff88a678fe0a13fb697f3719bc,nmf_topic_3,0.20549519,0.0,0.04156563,0.20549519,0.01865441,0.0,0.0,0.0,0.0
CRM-2022,CRM,Salesforce,Technology,2022,0001193125-22-127612,e42376913e8d9cfc319bf67f31073b300f3422009a8dc68e5a91c0e41c6b59b3,nmf_topic_3,0.16860029,0.0,0.00669152,0.16860029,0.06842993,0.0,0.0,0.02003283,0.0
CRM-2023,CRM,Salesforce,Technology,2023,0001193125-23-122123,1d03a50433ff589177d5fab8a0a16679d8fa71ecf23df8acc31e200e480856f4,nmf_topic_2,0.14728354,0.0,0.14728354,0.06426671,0.0282789,0.0,0.0,0.04138397,0.0
CRM-2024,CRM,Salesforce,Technology,2024,0001193125-24-140549,0c022549799ccc1af41075eb9f0451ae5cb5d1a396923db7047eee3bc0fe7f70,nmf_topic_2,0.14789453,0.0,0.14789453,0.06882366,0.02633371,0.0,0.0,0.02542533,0.0
ORCL-2016,ORCL,Oracle,Technology,2016,0001193125-16-718528,1796bdc4ceab470834400c982b5669452205c5849c9bcb2392d77ad440bb2f09,nmf_topic_3,0.22340862,0.05994186,0.0,0.22340862,0.0,0.0,0.0,0.0,0.0
ORCL-2017,ORCL,Oracle,Technology,2017,0001193125-17-297858,1de31c4fb989faac25984eaf56ea46971c0436381601a1d2edc22724ddb0dc49,nmf_topic_3,0.21512559,0.06114178,0.0,0.21512559,0.0,0.0,0.0,0.0,0.0
ORCL-2018,ORCL,Oracle,Technology,2018,0001193125-18-283993,dab252d2c2af6f2cc2ed78340372528802e7721e99ef5c5f70f5eadf9d428afe,nmf_topic_3,0.22349672,0.05765586,0.0,0.22349672,0.0,0.0,0.0,0.0,0.0
ORCL-2019,ORCL,Oracle,Technology,2019,0001193125-19-257430,1b5811838edbdc0ccf294129635fd3ff45ce3c0a43e4474ed851dd57d333cb69,nmf_topic_3,0.2231209,0.05244927,0.0,0.2231209,0.00621614,0.0,0.0,0.0,0.0
ORCL-2020,ORCL,Oracle,Technology,2020,0001193125-20-249194,c2c9c34a010493c9e9c635fc89cbb0fd5bd65ca7d7c82786f03d1c929dbf9d24,nmf_topic_3,0.22796448,0.0,0.00259045,0.22796448,0.05136153,0.0,0.0,0.0,0.0
ORCL-2021,ORCL,Oracle,Technology,2021,0001193125-21-282422,dd62224a90f74a48d3f0b3aeb504d50cb4e0f52f18546bdfcefe7ca5da16e2ed,nmf_topic_3,0.20821945,0.0,0.0,0.20821945,0.07893743,0.0,0.0,0.0,0.0
ORCL-2022,ORCL,Oracle,Technology,2022,0001193125-22-250158,909a046cfcfabef2eea0e3b6b31703c4aa7b3d9705e193a7ce8468915895a744,nmf_topic_3,0.16480842,0.00481864,0.0,0.16480842,0.12544246,0.0,0.0,0.00257364,0.0
ORCL-2023,ORCL,Oracle,Technology,2023,0001193125-23-240594,9179e9c202d619b76244bab4c97303f9620c6570e62816c98e91b9226c178d57,nmf_topic_3,0.16057618,0.0,0.0,0.16057618,0.13027624,0.0,0.0,0.01066867,0.0
