doc_id,ticker,company_name,sector,year,accession_number,clean_text_sha256,spacy_model,spacy_model_version,representative_text_sha256,token_count,sentence_count,entity_count,org_entity_count,person_entity_count,money_entity_count,percent_entity_count,noun_rate,verb_rate,proper_noun_rate,modal_count
ORCL-2022,ORCL,Oracle,Technology,2022,0001193125-22-250158,909a046cfcfabef2eea0e3b6b31703c4aa7b3d9705e193a7ce8468915895a744,en_core_web_sm,3.8.0,1c143658790ab2e2c72bbac49afc7c5465b0c3087e40abc85d497eac5c8bfa3a,1560,49,124,28,6,1,0,0.15897436,0.08525641,0.20448718,18
ORCL-2023,ORCL,Oracle,Technology,2023,0001193125-23-240594,9179e9c202d619b76244bab4c97303f9620c6570e62816c98e91b9226c178d57,en_core_web_sm,3.8.0,278232f190db3953cf56a7b72381fe0fbf9d376569f117f837444c08c53f5239,1571,48,121,28,4,0,0,0.15276894,0.08847868,0.20623806,18
ORCL-2024,ORCL,Oracle,Technology,2024,0001193125-24-226139,08871d6a0e64d70ebec8fcd1df4d831fc32b1ead6cb7e5f482c266f762e58e35,en_core_web_sm,3.8.0,0e7c91809a3b22a1f613989e9b4e80d93fc220a58f45c4151b59bfe8b749412a,1566,46,125,26,5,1,1,0.15836526,0.08684547,0.20817369,18
IBM-2016,IBM,IBM,Technology,2016,0001104659-16-102981,6a3f886745ef70741273bf05a7c8d67819248b118aa9caa019438face74a4bdd,en_core_web_sm,3.8.0,0e34d465461c951023a47f110fe8a093e41a0783a17bcb27d93204eb888a0318,1574,64,165,66,14,0,2,0.14358323,0.07242694,0.22681067,8
IBM-2017,IBM,IBM,Technology,2017,0001104659-17-016116,b545ab051b52d557890b8db2bb1047ffb6837c5e1019ccee30cdd6045d84b63b,en_core_web_sm,3.8.0,bf24a1040e29c834bca9a811fb970c9852a89b2d391625df8149272bec1abffd,1566,64,146,69,9,0,2,0.14240102,0.0734355,0.23180077,8
IBM-2018,IBM,IBM,Technology,2018,0001104659-18-016710,679018c03c8b6e2c63df9660720629b400997cb5b7b992ce1c00faf9857f7e35,en_core_web_sm,3.8.0,463c56bd6b1edadd78be21f40c104805856148eca50e2a53b30473c1a35d4e89,1583,69,156,54,17,0,0,0.13581807,0.07012003,0.24952622,7
IBM-2019,IBM,IBM,Technology,2019,0001104659-19-013856,f82522360872bf97296b2d24964452ce51cca64d6240f86c47307fd33317c7fb,en_core_web_sm,3.8.0,0ce851e570ccdfc706a43f9b78b7fab8164080026ccbb32ce86273eef1ec2dec,1619,57,137,69,8,1,0,0.16615195,0.08153181,0.18529957,2
IBM-2020,IBM,IBM,Technology,2020,0001193125-20-067199,0852160de6a70063b9bbc92b68d01ac9dc9dbe3d532019713b954f464d5c49a4,en_core_web_sm,3.8.0,96cb5470ebd46d6e2b3ba580d5a5cb644725aeb96f7cb2ef2cef4003366c2120,1662,62,133,67,16,0,0,0.16004813,0.0866426,0.17148014,7
IBM-2021,IBM,IBM,Technology,2021,0001193125-21-073223,2950daa3d39be2c04cbed08086e8f384061f19cb6e36f8b66a616b871029ceaa,en_core_web_sm,3.8.0,17ba11c651f6a8aca3ffccb4ebf8632c8cd04ce4e2fd8cb3b370cc173447d7ad,1642,68,117,53,5,0,2,0.1680877,0.10718636,0.14920828,6
IBM-2022,IBM,IBM,Technology,2022,0001104659-22-031075,18d32c89b66ccac51312c8de0d45d53b186f2a313ffca806b87eda9ea4f3ecde,en_core_web_sm,3.8.0,6caaa38bd69970b7561bd9b64e7462e7a9d324b0718e5a76c545fccf7dd0b58e,1647,79,120,50,12,0,3,0.16818458,0.10261081,0.14511233,14
