doc_id_a,doc_id_b,ticker_a,ticker_b,year_a,year_b,sector_a,sector_b,same_ticker,same_sector,cosine_similarity
AMZN-2016,AMZN-2019,AMZN,AMZN,2016,2019,Consumer Discretionary,Consumer Discretionary,True,True,0.98887348
AMZN-2016,AMZN-2018,AMZN,AMZN,2016,2018,Consumer Discretionary,Consumer Discretionary,True,True,0.98882586
SBUX-2016,SBUX-2019,SBUX,SBUX,2016,2019,Consumer Discretionary,Consumer Discretionary,True,True,0.98882091
PFE-2016,PFE-2021,PFE,PFE,2016,2021,Healthcare,Healthcare,True,True,0.98880416
WFC-2016,WFC-2017,WFC,WFC,2016,2017,Financials,Financials,True,True,0.98877835
WFC-2016,WFC-2018,WFC,WFC,2016,2018,Financials,Financials,True,True,0.98870814
MS-2018,MS-2021,MS,MS,2018,2021,Financials,Financials,True,True,0.98868501
HD-2016,HD-2020,HD,HD,2016,2020,Consumer Discretionary,Consumer Discretionary,True,True,0.98848867
MS-2023,MS-2024,MS,MS,2023,2024,Financials,Financials,True,True,0.98848277
PFE-2019,PFE-2021,PFE,PFE,2019,2021,Healthcare,Healthcare,True,True,0.98847854
MS-2017,MS-2020,MS,MS,2017,2020,Financials,Financials,True,True,0.98842955
CRM-2016,CRM-2018,CRM,CRM,2016,2018,Technology,Technology,True,True,0.98842657
AMZN-2016,AMZN-2017,AMZN,AMZN,2016,2017,Consumer Discretionary,Consumer Discretionary,True,True,0.98837161
WFC-2016,WFC-2019,WFC,WFC,2016,2019,Financials,Financials,True,True,0.98835015
CRM-2016,CRM-2020,CRM,CRM,2016,2020,Technology,Technology,True,True,0.98816526
COP-2019,COP-2020,COP,COP,2019,2020,Energy,Energy,True,True,0.98805881
MPC-2016,MPC-2019,MPC,MPC,2016,2019,Energy,Energy,True,True,0.9880054
CRM-2016,CRM-2017,CRM,CRM,2016,2017,Technology,Technology,True,True,0.98799491
MS-2017,MS-2018,MS,MS,2017,2018,Financials,Financials,True,True,0.98799121
HD-2016,HD-2019,HD,HD,2016,2019,Consumer Discretionary,Consumer Discretionary,True,True,0.9878487
COP-2018,COP-2019,COP,COP,2018,2019,Energy,Energy,True,True,0.98782766
ORCL-2016,ORCL-2018,ORCL,ORCL,2016,2018,Technology,Technology,True,True,0.98780262
XOM-2016,XOM-2018,XOM,XOM,2016,2018,Energy,Energy,True,True,0.98756081
AXP-2016,AXP-2018,AXP,AXP,2016,2018,Financials,Financials,True,True,0.98755717
HD-2016,HD-2017,HD,HD,2016,2017,Consumer Discretionary,Consumer Discretionary,True,True,0.98755008
GOOGL-2016,GOOGL-2020,GOOGL,GOOGL,2016,2020,Technology,Technology,True,True,0.9875201
MRK-2023,MRK-2024,MRK,MRK,2023,2024,Healthcare,Healthcare,True,True,0.98749793
AMZN-2018,AMZN-2020,AMZN,AMZN,2018,2020,Consumer Discretionary,Consumer Discretionary,True,True,0.9874928
XOM-2016,XOM-2019,XOM,XOM,2016,2019,Energy,Energy,True,True,0.98744726
JNJ-2017,JNJ-2020,JNJ,JNJ,2017,2020,Healthcare,Healthcare,True,True,0.98741823
JNJ-2018,JNJ-2020,JNJ,JNJ,2018,2020,Healthcare,Healthcare,True,True,0.98725331
CRM-2016,CRM-2021,CRM,CRM,2016,2021,Technology,Technology,True,True,0.98721361
ORCL-2016,ORCL-2021,ORCL,ORCL,2016,2021,Technology,Technology,True,True,0.98718613
XOM-2016,XOM-2020,XOM,XOM,2016,2020,Energy,Energy,True,True,0.9871828
AMZN-2019,AMZN-2020,AMZN,AMZN,2019,2020,Consumer Discretionary,Consumer Discretionary,True,True,0.98718107
PSX-2019,PSX-2020,PSX,PSX,2019,2020,Energy,Energy,True,True,0.98706824
JNJ-2019,JNJ-2020,JNJ,JNJ,2019,2020,Healthcare,Healthcare,True,True,0.98699486
